% time spent exploring,episodes,mean 100 episode reward,steps
95,10,24.2,217
90,20,22.4,425
86,30,21.4,619
80,40,22.5,878
76,50,21.7,1063
73,60,20.9,1234
68,70,20.9,1442
64,80,20.8,1644
58,90,21.4,1903
50,100,23.0,2278
42,110,24.4,2658
29,120,28.0,3226
18,130,31.4,3756
6,140,34.1,4284
2,150,38.7,4936
2,160,41.7,5400
2,170,44.9,5932
2,180,46.8,6324
2,190,49.3,6832
2,200,49.2,7203
2,210,48.7,7531
2,220,46.1,7838
2,230,43.5,8106
2,240,40.9,8370
2,250,37.2,8655
2,260,35.1,8912
2,270,32.5,9184
2,280,31.1,9436
2,290,28.7,9706
2,300,28.3,10033
2,310,28.9,10422
2,320,30.6,10893
2,330,31.4,11246
2,340,31.6,11530
2,350,31.3,11789
2,360,31.2,12036
2,370,31.1,12292
2,380,31.0,12535
2,390,30.8,12786
2,400,29.7,13000
2,410,28.3,13253
2,420,26.2,13515
2,430,24.8,13728
2,440,24.6,13985
2,450,24.3,14216
2,460,24.6,14499
2,470,25.2,14810
