% time spent exploring,episodes,mean 100 episode reward,steps
94,10,25.8,231
90,20,23.6,448
84,30,24.1,698
79,40,23.6,921
76,50,21.9,1073
72,60,21.3,1254
69,70,20.6,1417
65,80,19.9,1572
62,90,19.4,1728
59,100,18.7,1849
55,110,18.0,2028
51,120,17.7,2222
47,130,17.2,2416
43,140,16.9,2610
36,150,18.6,2935
29,160,19.6,3216
23,170,21.2,3533
15,180,22.9,3859
8,190,24.8,4209
2,200,27.1,4560
2,210,28.8,4906
2,220,30.5,5270
2,230,32.3,5645
2,240,33.8,5987
2,250,34.2,6352
2,260,35.1,6722
2,270,35.5,7087
2,280,36.2,7477
2,290,37.0,7908
2,300,38.0,8363
2,310,38.5,8754
2,320,40.0,9272
2,330,42.6,9902
2,340,44.2,10405
2,350,48.4,11188
2,360,52.6,11987
2,370,56.6,12748
2,380,58.1,13284
2,390,60.2,13925
2,400,62.4,14604
