% time spent exploring,episodes,mean 100 episode reward,steps
96,10,19.8,177
90,20,22.2,420
86,30,21.0,609
83,40,19.5,761
79,50,18.9,926
75,60,19.3,1135
70,70,19.5,1347
67,80,18.8,1485
64,90,18.6,1650
60,100,18.5,1830
56,110,18.2,2000
53,120,17.3,2154
49,130,17.2,2328
44,140,17.7,2527
38,150,19.0,2823
32,160,19.6,3093
28,170,19.6,3303
24,180,19.9,3479
16,190,22.0,3853
6,200,24.5,4279
2,210,27.0,4704
2,220,29.6,5109
2,230,32.5,5582
2,240,33.0,5829
2,250,32.2,6039
2,260,36.7,6762
2,270,38.1,7114
2,280,41.4,7620
2,290,47.2,8574
2,300,47.3,9011
2,310,50.2,9720
2,320,55.0,10608
2,330,57.9,11376
2,340,64.0,12230
2,350,68.3,12866
2,360,70.5,13814
2,370,77.0,14814
