% time spent exploring,episodes,mean 100 episode reward,steps
95,10,23.4,210
90,20,22.3,423
85,30,22.2,644
81,40,22.2,863
77,50,21.3,1042
74,60,20.0,1181
71,70,19.0,1312
67,80,18.7,1478
64,90,18.1,1614
60,100,18.1,1792
57,110,17.4,1949
54,120,16.7,2094
50,130,16.2,2268
47,140,15.2,2388
44,150,14.8,2526
40,160,15.5,2727
33,170,17.2,3031
28,180,18.2,3298
22,190,19.3,3547
18,200,19.6,3756
13,210,20.2,3974
10,220,20.3,4128
5,230,20.9,4359
2,240,21.3,4520
2,250,21.7,4697
2,260,21.5,4881
2,270,20.4,5068
2,280,19.4,5234
2,290,18.7,5420
2,300,18.5,5604
2,310,18.0,5770
2,320,18.2,5950
2,330,17.7,6129
2,340,17.8,6297
2,350,17.8,6482
2,360,17.8,6661
2,370,17.9,6858
2,380,18.0,7034
2,390,17.9,7213
2,400,17.7,7375
2,410,17.7,7541
2,420,17.6,7714
2,430,17.5,7880
2,440,17.6,8061
2,450,17.6,8239
2,460,17.6,8417
2,470,17.4,8599
2,480,17.5,8780
2,490,17.5,8966
2,500,17.8,9157
2,510,18.0,9344
2,520,19.0,9615
2,530,20.0,9879
2,540,21.4,10199
2,550,28.0,11040
2,560,34.1,11823
2,570,40.0,12603
2,580,44.1,13191
2,590,47.8,13743
2,600,49.4,14102
2,610,51.3,14471
2,620,53.8,14991
