% time spent exploring,episodes,mean 100 episode reward,steps
93,10,32.2,289
89,20,25.2,477
85,30,23.2,672
79,40,24.2,943
72,50,25.5,1247
63,60,28.4,1676
54,70,30.6,2112
41,80,33.8,2673
32,90,35.1,3122
21,100,36.5,3612
11,110,37.7,4060
3,120,39.6,4436
2,130,41.7,4842
2,140,43.4,5282
2,150,45.5,5793
2,160,46.8,6354
2,170,46.3,6741
2,180,47.7,7442
2,190,49.2,8037
2,200,49.4,8550
2,210,50.6,9117
2,220,50.7,9509
2,230,50.1,9854
2,240,53.1,10590
2,250,57.8,11576
2,260,62.2,12576
2,270,67.0,13442
2,280,70.0,14442
