% time spent exploring,episodes,mean 100 episode reward,steps
92,10,25.0,224
83,20,27.2,515
75,30,25.4,737
67,40,25.3,984
59,50,25.2,1235
52,60,24.6,1449
47,70,23.3,1608
39,80,23.4,1848
33,90,23.0,2050
26,100,22.7,2250
19,110,22.4,2464
12,120,21.5,2669
5,130,21.5,2888
2,140,21.5,3134
2,150,20.9,3328
2,160,20.7,3519
2,170,21.6,3773
2,180,21.2,3973
2,190,21.1,4163
2,200,21.7,4416
2,210,21.5,4614
2,220,21.5,4823
2,230,21.8,5064
2,240,21.2,5253
2,250,20.6,5391
2,260,20.4,5559
2,270,20.2,5798
2,280,21.3,6104
2,290,21.9,6355
2,300,22.8,6692
2,310,23.8,6997
2,320,24.9,7313
2,330,25.6,7629
2,340,26.0,7856
2,350,28.3,8222
2,360,32.2,8780
2,370,31.5,8945
2,380,29.8,9088
2,390,29.4,9291
2,400,30.4,9731
