% time spent exploring,episodes,mean 100 episode reward,steps
94,10,19.6,175
86,20,21.6,410
80,30,21.1,611
72,40,21.4,834
66,50,20.9,1024
57,60,21.9,1290
52,70,21.2,1460
43,80,21.8,1719
38,90,21.3,1892
32,100,20.8,2054
25,110,21.1,2288
17,120,21.2,2526
12,130,20.6,2676
7,140,20.0,2837
2,150,20.3,3054
2,160,19.8,3272
2,170,20.1,3467
2,180,19.4,3660
2,190,19.8,3873
2,200,21.8,4234
2,210,24.8,4764
2,220,26.9,5215
2,230,30.5,5723
2,240,30.9,5925
2,250,30.7,6121
2,260,31.1,6379
2,270,30.9,6553
2,280,31.0,6756
2,290,37.4,7616
2,300,36.0,7837
2,310,37.5,8510
