% time spent exploring,episodes,mean 100 episode reward,steps
94,10,18.4,165
87,20,19.9,378
81,30,20.0,579
75,40,19.4,754
70,50,18.6,909
63,60,18.9,1115
55,70,19.7,1356
47,80,20.5,1622
39,90,20.7,1841
34,100,20.4,2014
27,110,20.4,2205
22,120,20.0,2381
12,130,21.0,2680
6,140,21.2,2870
2,150,21.0,3006
2,160,20.5,3166
2,170,19.8,3336
2,180,18.8,3507
2,190,18.6,3703
2,200,18.4,3858
2,210,18.1,4018
2,220,18.2,4202
2,230,17.4,4415
2,240,17.4,4615
2,250,17.8,4790
2,260,18.0,4966
2,270,18.2,5159
2,280,18.0,5303
2,290,17.7,5472
2,300,18.7,5725
2,310,20.9,6112
2,320,24.1,6613
2,330,25.7,6983
2,340,25.7,7185
2,350,25.4,7329
2,360,25.8,7551
2,370,29.5,8109
2,380,33.0,8606
2,390,42.8,9752
