# Exploration %,Episodes,Rewards,Timestep
9.346666666666666856e+01,1.000000000000000000e+01,2.839999999999999858e+01,2.660000000000000000e+02
8.693333333333332291e+01,2.000000000000000000e+01,2.439999999999999858e+01,4.850000000000000000e+02
8.040000000000000568e+01,3.000000000000000000e+01,2.630000000000000071e+01,7.880000000000000000e+02
7.386666666666667425e+01,4.000000000000000000e+01,2.760000000000000142e+01,1.105000000000000000e+03
6.733333333333332860e+01,5.000000000000000000e+01,2.750000000000000000e+01,1.391000000000000000e+03
6.079999999999999716e+01,6.000000000000000000e+01,3.429999999999999716e+01,2.117000000000000000e+03
5.426666666666666572e+01,7.000000000000000000e+01,3.900000000000000000e+01,2.709000000000000000e+03
4.773333333333334139e+01,8.000000000000000000e+01,4.220000000000000284e+01,3.412000000000000000e+03
4.120000000000000284e+01,9.000000000000000000e+01,4.400000000000000000e+01,4.020000000000000000e+03
3.466666666666667140e+01,1.000000000000000000e+02,4.820000000000000284e+01,4.875000000000000000e+03
2.813333333333334352e+01,1.100000000000000000e+02,5.339999999999999858e+01,5.695000000000000000e+03
2.159999999999999787e+01,1.200000000000000000e+02,6.050000000000000000e+01,6.606000000000000000e+03
1.506666666666666110e+01,1.300000000000000000e+02,6.659999999999999432e+01,7.456000000000000000e+03
8.533333333333336768e+00,1.400000000000000000e+02,7.259999999999999432e+01,8.439000000000000000e+03
2.000000000000001776e+00,1.500000000000000000e+02,7.990000000000000568e+01,9.439000000000000000e+03
