# Exploration %,Episodes,Rewards,Timestep
9.346666666666666856e+01,1.000000000000000000e+01,1.960000000000000142e+01,1.910000000000000000e+02
8.693333333333332291e+01,2.000000000000000000e+01,1.760000000000000142e+01,3.680000000000000000e+02
8.040000000000000568e+01,3.000000000000000000e+01,2.060000000000000142e+01,6.380000000000000000e+02
7.386666666666667425e+01,4.000000000000000000e+01,2.300000000000000000e+01,9.340000000000000000e+02
6.733333333333332860e+01,5.000000000000000000e+01,2.589999999999999858e+01,1.287000000000000000e+03
6.079999999999999716e+01,6.000000000000000000e+01,2.839999999999999858e+01,1.687000000000000000e+03
5.426666666666666572e+01,7.000000000000000000e+01,2.839999999999999858e+01,2.000000000000000000e+03
4.773333333333334139e+01,8.000000000000000000e+01,3.239999999999999858e+01,2.573000000000000000e+03
4.120000000000000284e+01,9.000000000000000000e+01,3.520000000000000284e+01,3.157000000000000000e+03
3.466666666666667140e+01,1.000000000000000000e+02,3.750000000000000000e+01,3.801000000000000000e+03
2.813333333333334352e+01,1.100000000000000000e+02,4.360000000000000142e+01,4.636000000000000000e+03
2.159999999999999787e+01,1.200000000000000000e+02,5.079999999999999716e+01,5.456000000000000000e+03
1.506666666666666110e+01,1.300000000000000000e+02,5.660000000000000142e+01,6.354000000000000000e+03
8.533333333333336768e+00,1.400000000000000000e+02,6.089999999999999858e+01,7.085000000000000000e+03
2.000000000000001776e+00,1.500000000000000000e+02,6.720000000000000284e+01,8.085000000000000000e+03
2.000000000000001776e+00,1.600000000000000000e+02,7.270000000000000284e+01,9.045000000000000000e+03
