% time spent exploring,episodes,mean 100 episode reward,steps
85,10,25.1,225
71,20,22.7,431
61,30,20.2,585
52,40,18.5,721
45,50,17.2,841
37,60,16.2,952
29,70,15.6,1076
22,80,15.0,1187
15,90,14.6,1297
8,100,14.1,1394
2,110,12.7,1493
2,120,11.6,1590
2,130,11.0,1685
2,140,10.6,1780
2,150,10.3,1875
2,160,10.2,1968
2,170,9.9,2064
2,180,9.7,2157
2,190,9.6,2252
2,200,9.6,2350
2,210,9.5,2445
2,220,9.5,2538
2,230,9.5,2632
2,240,9.5,2729
2,250,9.5,2824
2,260,9.5,2919
2,270,9.6,3021
2,280,9.6,3112
2,290,9.5,3205
2,300,9.5,3303
2,310,9.6,3408
2,320,10.0,3538
2,330,11.3,3764
2,340,11.5,3882
2,350,12.4,4063
2,360,14.0,4316
2,370,18.7,4887
