% time spent exploring,episodes,mean 100 episode reward,steps
86,10,22.6,202
74,20,20.2,383
65,30,18.2,526
55,40,17.5,682
46,50,16.6,812
38,60,15.9,936
31,70,15.3,1053
23,80,14.9,1173
15,90,14.6,1296
7,100,14.4,1421
2,110,13.4,1543
2,120,12.7,1657
2,130,12.2,1749
2,140,11.9,1875
2,150,11.7,1985
2,160,11.6,2099
2,170,11.6,2208
2,180,11.4,2314
2,190,11.3,2427
2,200,11.6,2576
2,210,11.3,2670
2,220,11.0,2761
2,230,11.0,2854
2,240,11.2,2996
2,250,11.8,3161
2,260,11.7,3272
2,270,12.1,3422
2,280,12.8,3593
2,290,13.8,3811
2,300,14.3,4002
2,310,15.4,4214
2,320,17.0,4463
2,330,18.3,4687
2,340,19.5,4948
