% time spent exploring,episodes,mean 100 episode reward,steps
93,10,21.9,196
86,20,20.1,380
80,30,19.4,561
73,40,19.9,774
67,50,19.0,930
60,60,18.3,1080
54,70,18.4,1269
47,80,21.3,1679
41,90,26.3,2343
34,100,30.4,3005
28,110,35.5,3749
21,120,39.4,4325
15,130,41.8,4746
8,140,45.7,5347
2,150,48.8,5809
2,160,50.2,6099
2,170,50.6,6324
2,180,48.3,6508
2,190,43.5,6696
2,200,41.3,7139
2,210,38.7,7618
2,220,41.0,8423
2,230,44.5,9194
2,240,44.8,9825
2,250,44.9,10298
2,260,47.3,10831
2,270,53.4,11661
2,280,59.4,12445
2,290,63.6,13053
2,300,66.9,13832
2,310,69.2,14534
