% time spent exploring,episodes,mean 100 episode reward,steps
93,10,15.6,139
86,20,17.4,330
80,30,18.0,520
73,40,17.3,673
67,50,16.6,814
60,60,16.0,945
54,70,16.0,1101
47,80,15.6,1233
41,90,15.4,1368
34,100,15.5,1529
28,110,17.6,1902
21,120,19.8,2312
15,130,22.7,2790
8,140,27.0,3371
2,150,32.3,4048
2,160,36.2,4569
2,170,39.3,5035
2,180,43.3,5559
2,190,47.6,6123
2,200,52.7,6801
2,210,55.3,7432
2,220,57.2,8032
2,230,57.8,8573
2,240,57.3,9099
2,250,57.1,9756
2,260,58.5,10415
2,270,59.1,10942
2,280,58.3,11391
2,290,57.4,11866
2,300,56.6,12458
2,310,56.7,13101
2,320,55.8,13614
2,330,56.7,14241
2,340,55.3,14626
