% time spent exploring,episodes,mean 100 episode reward,steps
97,10,-200.0,1799
95,20,-200.0,3799
93,30,-200.0,5799
91,40,-200.0,7799
88,50,-200.0,9799
86,60,-200.0,11799
84,70,-200.0,13799
82,80,-200.0,15799
79,90,-200.0,17799
77,100,-200.0,19799
75,110,-200.0,21799
73,120,-200.0,23799
70,130,-200.0,25799
68,140,-200.0,27799
66,150,-200.0,29799
63,160,-200.0,31799
61,170,-200.0,33799
59,180,-200.0,35799
57,190,-200.0,37799
55,200,-200.0,39799
52,210,-200.0,41799
50,220,-200.0,43799
48,230,-200.0,45799
46,240,-200.0,47799
43,250,-200.0,49799
41,260,-200.0,51799
39,270,-200.0,53799
37,280,-200.0,55799
34,290,-200.0,57799
32,300,-200.0,59799
30,310,-199.6,61764
27,320,-199.6,63760
25,330,-199.6,65760
23,340,-199.1,67707
21,350,-199.1,69707
18,360,-199.1,71707
16,370,-198.6,73658
14,380,-198.4,75638
12,390,-198.0,77601
9,400,-197.2,79518
9,410,-195.8,81346
9,420,-195.4,83299
9,430,-194.2,85183
9,440,-194.7,87176
9,450,-194.5,89159
9,460,-194.2,91127
9,470,-193.5,93011
9,480,-192.1,94852
9,490,-192.2,96820
9,500,-192.3,98745
9,510,-194.0,100745
9,520,-193.0,102595
9,530,-192.7,104457
9,540,-192.1,106385
9,550,-191.2,108282
9,560,-190.6,110188
9,570,-191.8,112188
9,580,-193.3,114186
9,590,-191.5,115974
9,600,-191.5,117899
9,610,-189.8,119724
9,620,-190.5,121643
9,630,-191.5,123605
9,640,-191.0,125481
9,650,-191.7,127450
9,660,-192.0,129386
9,670,-191.3,131316
9,680,-190.3,133218
9,690,-192.4,135218
9,700,-193.2,137218
9,710,-192.8,139000
9,720,-191.5,140792
9,730,-189.6,142569
9,740,-188.6,144341
9,750,-188.2,146274
9,760,-186.4,148028
