% time spent exploring,episodes,mean 100 episode reward,steps
97,10,-200.0,1799
95,20,-200.0,3799
93,30,-200.0,5799
91,40,-200.0,7799
88,50,-200.0,9799
86,60,-200.0,11799
84,70,-200.0,13799
82,80,-200.0,15799
79,90,-200.0,17799
77,100,-200.0,19799
75,110,-200.0,21799
73,120,-200.0,23799
70,130,-200.0,25799
68,140,-200.0,27799
66,150,-200.0,29799
63,160,-200.0,31799
61,170,-200.0,33799
59,180,-200.0,35799
57,190,-200.0,37799
55,200,-200.0,39799
52,210,-200.0,41799
50,220,-200.0,43799
48,230,-200.0,45799
46,240,-200.0,47799
43,250,-200.0,49799
41,260,-200.0,51799
39,270,-200.0,53799
37,280,-200.0,55799
34,290,-200.0,57799
32,300,-200.0,59799
30,310,-199.9,61789
27,320,-199.5,63746
25,330,-199.0,65703
23,340,-199.0,67703
21,350,-199.0,69703
18,360,-199.0,71703
16,370,-198.6,73656
14,380,-198.4,75641
12,390,-198.1,77612
9,400,-196.4,79435
9,410,-196.0,81388
9,420,-194.7,83217
9,430,-193.5,85057
9,440,-193.2,87024
9,450,-191.7,88876
9,460,-191.7,90876
9,470,-191.9,92849
9,480,-191.8,94816
9,490,-191.6,96771
9,500,-192.4,98675
9,510,-192.5,100638
9,520,-193.9,102611
9,530,-194.6,104520
9,540,-193.3,106351
9,550,-194.4,108321
9,560,-194.0,110276
9,570,-192.0,112049
9,580,-190.1,113824
9,590,-188.5,115622
9,600,-188.7,117542
9,610,-187.3,119364
9,620,-185.9,121202
9,630,-185.2,123036
9,640,-185.5,124900
9,650,-185.4,126856
9,660,-184.9,128765
9,670,-185.1,130560
9,680,-186.2,132443
9,690,-187.3,134356
9,700,-186.5,136194
9,710,-187.1,138072
9,720,-188.2,140018
9,730,-188.5,141885
9,740,-188.2,143715
9,750,-188.4,145698
9,760,-188.4,147606
9,770,-189.3,149489
