% time spent exploring,episodes,mean 100 episode reward,steps
97,10,-200.0,1799
95,20,-200.0,3799
93,30,-200.0,5799
91,40,-200.0,7799
88,50,-200.0,9799
86,60,-200.0,11799
84,70,-200.0,13799
82,80,-200.0,15799
79,90,-200.0,17799
77,100,-200.0,19799
75,110,-200.0,21799
73,120,-200.0,23799
70,130,-200.0,25799
68,140,-200.0,27799
66,150,-200.0,29799
63,160,-200.0,31799
61,170,-200.0,33799
59,180,-200.0,35799
57,190,-200.0,37799
55,200,-200.0,39799
52,210,-200.0,41799
50,220,-200.0,43799
48,230,-200.0,45799
46,240,-200.0,47799
43,250,-200.0,49799
41,260,-200.0,51799
39,270,-200.0,53799
37,280,-200.0,55799
34,290,-200.0,57799
32,300,-200.0,59799
30,310,-200.0,61799
27,320,-200.0,63799
25,330,-200.0,65799
23,340,-200.0,67799
21,350,-200.0,69799
18,360,-200.0,71799
16,370,-199.6,73758
14,380,-199.2,75721
12,390,-197.5,77546
9,400,-197.1,79510
9,410,-196.9,81491
9,420,-196.7,83465
9,430,-196.5,85445
9,440,-195.2,87317
9,450,-194.3,89225
9,460,-193.2,91124
9,470,-193.5,93110
9,480,-193.5,95070
9,490,-194.0,96943
9,500,-192.9,98796
9,510,-192.4,100727
9,520,-192.2,102684
9,530,-192.0,104646
9,540,-192.1,106531
9,550,-191.6,108384
9,560,-191.3,110258
9,570,-190.7,112178
9,580,-190.2,114089
9,590,-191.0,116043
9,600,-191.7,117962
9,610,-190.6,119786
9,620,-190.6,121744
9,630,-189.9,123632
9,640,-189.8,125512
9,650,-190.5,127436
9,660,-190.5,129308
9,670,-189.8,131157
9,680,-188.0,132890
9,690,-186.9,134732
9,700,-186.4,136606
9,710,-187.0,138487
9,720,-185.8,140325
9,730,-185.5,142184
9,740,-184.8,143987
9,750,-184.1,145849
9,760,-183.9,147700
9,770,-184.8,149641
