% time spent exploring,episodes,mean 100 episode reward,steps
93,10,13.3,119
86,20,16.4,311
80,30,16.4,476
73,40,16.5,643
67,50,16.7,818
60,60,16.5,974
54,70,15.9,1098
47,80,15.4,1216
41,90,18.1,1613
34,100,22.3,2207
28,110,28.1,2928
21,120,31.2,3431
15,130,35.5,4028
8,140,40.6,4703
2,150,45.8,5397
2,160,48.1,5785
2,170,52.9,6385
2,180,59.1,7122
2,190,62.6,7876
2,200,63.6,8569
2,210,62.6,9186
2,220,65.0,9926
2,230,65.4,10573
2,240,62.8,10983
2,250,62.2,11613
2,260,64.0,12190
2,270,63.0,12681
2,280,61.8,13298
2,290,61.2,13995
2,300,61.5,14723
