% time spent exploring,episodes,mean 100 episode reward,steps
93,10,24.6,220
86,20,24.3,460
80,30,24.7,716
73,40,23.5,915
67,50,22.2,1086
60,60,20.8,1229
54,70,19.7,1360
47,80,18.7,1478
41,90,17.8,1587
34,100,18.9,1875
28,110,20.4,2259
21,120,21.3,2594
15,130,23.1,3024
8,140,25.0,3418
2,150,27.4,3828
2,160,30.1,4239
2,170,32.3,4590
2,180,35.8,5060
2,190,37.8,5362
2,200,39.9,5861
2,210,40.1,6268
2,220,40.2,6613
2,230,39.4,6962
2,240,39.6,7382
2,250,40.1,7835
2,260,40.0,8236
2,270,39.7,8559
2,280,38.7,8931
2,290,38.8,9240
2,300,36.4,9501
2,310,36.1,9877
2,320,35.8,10190
2,330,35.3,10492
2,340,33.7,10755
2,350,33.3,11163
2,360,34.0,11639
2,370,34.4,12003
2,380,33.8,12314
2,390,33.6,12601
2,400,34.7,12967
2,410,35.1,13390
2,420,37.2,13912
2,430,37.9,14284
2,440,38.3,14582
