% time spent exploring,episodes,mean 100 episode reward,steps
93,10,24.8,222
86,20,24.2,458
80,30,23.0,665
73,40,21.6,843
67,50,21.3,1041
60,60,20.7,1221
54,70,19.6,1351
47,80,18.8,1484
41,90,18.1,1611
34,100,17.6,1741
28,110,16.3,1855
21,120,15.2,1978
15,130,14.2,2085
8,140,13.4,2183
2,150,12.4,2284
2,160,11.7,2395
2,170,11.5,2504
2,180,11.2,2599
2,190,11.0,2706
2,200,10.6,2799
2,210,10.4,2895
2,220,10.3,3004
2,230,10.2,3100
2,240,10.1,3194
2,250,10.2,3302
2,260,10.1,3405
2,270,9.9,3497
2,280,9.9,3592
2,290,9.8,3685
2,300,9.8,3777
2,310,9.7,3868
2,320,9.7,3975
2,330,9.7,4069
2,340,9.7,4163
2,350,9.6,4259
2,360,9.5,4352
2,370,9.5,4451
2,380,9.6,4548
2,390,9.6,4643
2,400,9.6,4735
2,410,9.6,4829
2,420,9.4,4919
2,430,9.4,5012
2,440,9.4,5107
2,450,9.4,5202
2,460,9.5,5299
2,470,9.4,5394
2,480,9.4,5487
2,490,9.4,5579
2,500,9.4,5672
2,510,9.4,5767
2,520,9.4,5860
2,530,9.4,5956
2,540,9.4,6052
2,550,9.4,6147
2,560,9.4,6244
2,570,9.4,6335
2,580,9.4,6424
2,590,9.4,6517
2,600,9.4,6612
2,610,9.4,6709
2,620,9.4,6799
2,630,9.4,6891
2,640,9.3,6986
2,650,9.3,7080
2,660,9.3,7172
2,670,9.3,7265
2,680,9.3,7357
2,690,9.3,7449
2,700,9.3,7541
2,710,9.2,7633
2,720,9.3,7726
2,730,9.3,7819
2,740,9.3,7913
2,750,9.3,8006
2,760,9.3,8099
2,770,9.3,8197
2,780,9.3,8289
2,790,9.3,8379
2,800,9.3,8471
2,810,9.3,8567
2,820,9.4,8667
2,830,9.6,8776
2,840,9.5,8867
2,850,9.5,8958
2,860,9.5,9048
2,870,9.6,9158
2,880,9.6,9252
2,890,9.7,9348
2,900,9.7,9438
2,910,9.7,9534
2,920,9.6,9631
2,930,9.5,9726
2,940,9.6,9827
2,950,9.8,9941
2,960,10.1,10055
2,970,10.3,10191
2,980,10.7,10319
2,990,11.4,10487
2,1000,11.7,10611
2,1010,12.6,10790
2,1020,15.2,11149
2,1030,17.2,11441
2,1040,20.2,11849
2,1050,22.7,12214
2,1060,23.8,12436
2,1070,28.4,13027
2,1080,31.8,13498
2,1090,33.3,13821
2,1100,36.7,14280
2,1110,41.2,14912
