# Exploration %,Episodes,Rewards,Timestep
9.346666666666666856e+01,1.000000000000000000e+01,1.869999999999999929e+01,2.100000000000000000e+02
8.693333333333332291e+01,2.000000000000000000e+01,2.250000000000000000e+01,4.420000000000000000e+02
8.040000000000000568e+01,3.000000000000000000e+01,2.439999999999999858e+01,7.420000000000000000e+02
7.386666666666667425e+01,4.000000000000000000e+01,2.810000000000000142e+01,1.172000000000000000e+03
6.733333333333332860e+01,5.000000000000000000e+01,3.229999999999999716e+01,1.627000000000000000e+03
6.079999999999999716e+01,6.000000000000000000e+01,3.760000000000000142e+01,2.252000000000000000e+03
5.426666666666666572e+01,7.000000000000000000e+01,4.079999999999999716e+01,2.837000000000000000e+03
4.773333333333334139e+01,8.000000000000000000e+01,4.450000000000000000e+01,3.589000000000000000e+03
4.120000000000000284e+01,9.000000000000000000e+01,4.939999999999999858e+01,4.500000000000000000e+03
3.466666666666667140e+01,1.000000000000000000e+02,5.410000000000000142e+01,5.457000000000000000e+03
2.813333333333334352e+01,1.100000000000000000e+02,6.070000000000000284e+01,6.258000000000000000e+03
2.159999999999999787e+01,1.200000000000000000e+02,6.709999999999999432e+01,7.240000000000000000e+03
1.506666666666666110e+01,1.300000000000000000e+02,7.429999999999999716e+01,8.240000000000000000e+03
8.533333333333336768e+00,1.400000000000000000e+02,8.050000000000000000e+01,9.240000000000000000e+03
