# Exploration %,Episodes,Rewards,Timestep
9.346666666666666856e+01,1.000000000000000000e+01,1.769999999999999929e+01,1.740000000000000000e+02
8.693333333333332291e+01,2.000000000000000000e+01,2.269999999999999929e+01,4.430000000000000000e+02
8.040000000000000568e+01,3.000000000000000000e+01,2.530000000000000071e+01,7.450000000000000000e+02
7.386666666666667425e+01,4.000000000000000000e+01,2.610000000000000142e+01,1.031000000000000000e+03
6.733333333333332860e+01,5.000000000000000000e+01,3.080000000000000071e+01,1.533000000000000000e+03
6.079999999999999716e+01,6.000000000000000000e+01,3.060000000000000142e+01,1.890000000000000000e+03
5.426666666666666572e+01,7.000000000000000000e+01,3.329999999999999716e+01,2.381000000000000000e+03
4.773333333333334139e+01,8.000000000000000000e+01,3.739999999999999858e+01,2.999000000000000000e+03
4.120000000000000284e+01,9.000000000000000000e+01,4.300000000000000000e+01,3.923000000000000000e+03
3.466666666666667140e+01,1.000000000000000000e+02,4.620000000000000284e+01,4.674000000000000000e+03
2.813333333333334352e+01,1.100000000000000000e+02,5.220000000000000284e+01,5.477000000000000000e+03
2.159999999999999787e+01,1.200000000000000000e+02,5.950000000000000000e+01,6.398000000000000000e+03
1.506666666666666110e+01,1.300000000000000000e+02,6.559999999999999432e+01,7.398000000000000000e+03
8.533333333333336768e+00,1.400000000000000000e+02,7.279999999999999716e+01,8.398000000000000000e+03
2.000000000000001776e+00,1.500000000000000000e+02,7.790000000000000568e+01,9.398000000000000000e+03
2.000000000000001776e+00,1.600000000000000000e+02,8.490000000000000568e+01,1.039800000000000000e+04
2.000000000000001776e+00,1.700000000000000000e+02,9.000000000000000000e+01,1.139800000000000000e+04
2.000000000000001776e+00,1.800000000000000000e+02,9.350000000000000000e+01,1.239800000000000000e+04
2.000000000000001776e+00,1.900000000000000000e+02,9.479999999999999716e+01,1.339800000000000000e+04
2.000000000000001776e+00,2.000000000000000000e+02,9.720000000000000284e+01,1.439800000000000000e+04
2.000000000000001776e+00,2.100000000000000000e+02,9.429999999999999716e+01,1.481800000000000000e+04
2.000000000000001776e+00,2.200000000000000000e+02,9.079999999999999716e+01,1.555500000000000000e+04
2.000000000000001776e+00,2.300000000000000000e+02,9.159999999999999432e+01,1.655500000000000000e+04
2.000000000000001776e+00,2.400000000000000000e+02,9.140000000000000568e+01,1.753000000000000000e+04
2.000000000000001776e+00,2.500000000000000000e+02,8.990000000000000568e+01,1.838700000000000000e+04
2.000000000000001776e+00,2.600000000000000000e+02,8.979999999999999716e+01,1.937900000000000000e+04
