# Exploration %,Episodes,Rewards,Timestep
9.346666666666666856e+01,1.000000000000000000e+01,2.180000000000000071e+01,2.120000000000000000e+02
8.693333333333332291e+01,2.000000000000000000e+01,2.539999999999999858e+01,4.910000000000000000e+02
8.040000000000000568e+01,3.000000000000000000e+01,2.169999999999999929e+01,6.440000000000000000e+02
7.386666666666667425e+01,4.000000000000000000e+01,1.969999999999999929e+01,7.780000000000000000e+02
6.733333333333332860e+01,5.000000000000000000e+01,1.939999999999999858e+01,9.970000000000000000e+02
6.079999999999999716e+01,6.000000000000000000e+01,1.960000000000000142e+01,1.168000000000000000e+03
5.426666666666666572e+01,7.000000000000000000e+01,1.930000000000000071e+01,1.339000000000000000e+03
4.773333333333334139e+01,8.000000000000000000e+01,1.850000000000000000e+01,1.479000000000000000e+03
4.120000000000000284e+01,9.000000000000000000e+01,1.830000000000000071e+01,1.652000000000000000e+03
3.466666666666667140e+01,1.000000000000000000e+02,1.819999999999999929e+01,1.812000000000000000e+03
2.813333333333334352e+01,1.100000000000000000e+02,1.769999999999999929e+01,1.979000000000000000e+03
2.159999999999999787e+01,1.200000000000000000e+02,1.639999999999999858e+01,2.127000000000000000e+03
1.506666666666666110e+01,1.300000000000000000e+02,1.650000000000000000e+01,2.322000000000000000e+03
8.533333333333336768e+00,1.400000000000000000e+02,1.700000000000000000e+01,2.495000000000000000e+03
2.000000000000001776e+00,1.500000000000000000e+02,1.689999999999999858e+01,2.647000000000000000e+03
2.000000000000001776e+00,1.600000000000000000e+02,1.590000000000000036e+01,2.791000000000000000e+03
2.000000000000001776e+00,1.700000000000000000e+02,1.569999999999999929e+01,2.909000000000000000e+03
2.000000000000001776e+00,1.800000000000000000e+02,1.530000000000000071e+01,3.002000000000000000e+03
2.000000000000001776e+00,1.900000000000000000e+02,1.459999999999999964e+01,3.104000000000000000e+03
2.000000000000001776e+00,2.000000000000000000e+02,1.430000000000000071e+01,3.242000000000000000e+03
2.000000000000001776e+00,2.100000000000000000e+02,1.359999999999999964e+01,3.363000000000000000e+03
2.000000000000001776e+00,2.200000000000000000e+02,1.359999999999999964e+01,3.512000000000000000e+03
2.000000000000001776e+00,2.300000000000000000e+02,1.450000000000000000e+01,3.735000000000000000e+03
2.000000000000001776e+00,2.400000000000000000e+02,1.419999999999999929e+01,3.931000000000000000e+03
2.000000000000001776e+00,2.500000000000000000e+02,1.550000000000000000e+01,4.225000000000000000e+03
2.000000000000001776e+00,2.600000000000000000e+02,1.819999999999999929e+01,4.606000000000000000e+03
2.000000000000001776e+00,2.700000000000000000e+02,2.039999999999999858e+01,4.967000000000000000e+03
2.000000000000001776e+00,2.800000000000000000e+02,2.250000000000000000e+01,5.275000000000000000e+03
2.000000000000001776e+00,2.900000000000000000e+02,2.469999999999999929e+01,5.604000000000000000e+03
2.000000000000001776e+00,3.000000000000000000e+02,2.630000000000000071e+01,5.879000000000000000e+03
2.000000000000001776e+00,3.100000000000000000e+02,2.769999999999999929e+01,6.123000000000000000e+03
2.000000000000001776e+00,3.200000000000000000e+02,2.869999999999999929e+01,6.379000000000000000e+03
2.000000000000001776e+00,3.300000000000000000e+02,2.869999999999999929e+01,6.620000000000000000e+03
2.000000000000001776e+00,3.400000000000000000e+02,2.980000000000000071e+01,6.891000000000000000e+03
2.000000000000001776e+00,3.500000000000000000e+02,2.919999999999999929e+01,7.124000000000000000e+03
2.000000000000001776e+00,3.600000000000000000e+02,2.769999999999999929e+01,7.365000000000000000e+03
2.000000000000001776e+00,3.700000000000000000e+02,2.660000000000000142e+01,7.622000000000000000e+03
2.000000000000001776e+00,3.800000000000000000e+02,2.619999999999999929e+01,7.888000000000000000e+03
2.000000000000001776e+00,3.900000000000000000e+02,2.560000000000000142e+01,8.146000000000000000e+03
2.000000000000001776e+00,4.000000000000000000e+02,2.510000000000000142e+01,8.394000000000000000e+03
2.000000000000001776e+00,4.100000000000000000e+02,2.550000000000000000e+01,8.686000000000000000e+03
2.000000000000001776e+00,4.200000000000000000e+02,2.619999999999999929e+01,8.996000000000000000e+03
2.000000000000001776e+00,4.300000000000000000e+02,2.669999999999999929e+01,9.298000000000000000e+03
2.000000000000001776e+00,4.400000000000000000e+02,2.700000000000000000e+01,9.601000000000000000e+03
2.000000000000001776e+00,4.500000000000000000e+02,2.739999999999999858e+01,9.881000000000000000e+03
2.000000000000001776e+00,4.600000000000000000e+02,2.819999999999999929e+01,1.018200000000000000e+04
2.000000000000001776e+00,4.700000000000000000e+02,2.950000000000000000e+01,1.061000000000000000e+04
2.000000000000001776e+00,4.800000000000000000e+02,3.260000000000000142e+01,1.118000000000000000e+04
2.000000000000001776e+00,4.900000000000000000e+02,3.329999999999999716e+01,1.149200000000000000e+04
2.000000000000001776e+00,5.000000000000000000e+02,3.479999999999999716e+01,1.188100000000000000e+04
2.000000000000001776e+00,5.100000000000000000e+02,3.620000000000000284e+01,1.229700000000000000e+04
2.000000000000001776e+00,5.200000000000000000e+02,3.679999999999999716e+01,1.271100000000000000e+04
2.000000000000001776e+00,5.300000000000000000e+02,4.000000000000000000e+01,1.332600000000000000e+04
2.000000000000001776e+00,5.400000000000000000e+02,4.339999999999999858e+01,1.396300000000000000e+04
2.000000000000001776e+00,5.500000000000000000e+02,4.520000000000000284e+01,1.439600000000000000e+04
2.000000000000001776e+00,5.600000000000000000e+02,4.789999999999999858e+01,1.499500000000000000e+04
2.000000000000001776e+00,5.700000000000000000e+02,5.150000000000000000e+01,1.574300000000000000e+04
2.000000000000001776e+00,5.800000000000000000e+02,5.079999999999999716e+01,1.626600000000000000e+04
2.000000000000001776e+00,5.900000000000000000e+02,5.510000000000000142e+01,1.702600000000000000e+04
2.000000000000001776e+00,6.000000000000000000e+02,5.610000000000000142e+01,1.748600000000000000e+04
2.000000000000001776e+00,6.100000000000000000e+02,5.570000000000000284e+01,1.788700000000000000e+04
2.000000000000001776e+00,6.200000000000000000e+02,5.720000000000000284e+01,1.840400000000000000e+04
2.000000000000001776e+00,6.300000000000000000e+02,5.420000000000000284e+01,1.873900000000000000e+04
2.000000000000001776e+00,6.400000000000000000e+02,5.570000000000000284e+01,1.957400000000000000e+04
