# Exploration %,Episodes,Rewards,Timestep
9.346666666666666856e+01,1.000000000000000000e+01,2.030000000000000071e+01,2.180000000000000000e+02
8.693333333333332291e+01,2.000000000000000000e+01,2.319999999999999929e+01,4.550000000000000000e+02
8.040000000000000568e+01,3.000000000000000000e+01,2.430000000000000071e+01,7.180000000000000000e+02
7.386666666666667425e+01,4.000000000000000000e+01,2.319999999999999929e+01,9.250000000000000000e+02
6.733333333333332860e+01,5.000000000000000000e+01,2.769999999999999929e+01,1.410000000000000000e+03
6.079999999999999716e+01,6.000000000000000000e+01,3.479999999999999716e+01,2.081000000000000000e+03
5.426666666666666572e+01,7.000000000000000000e+01,3.950000000000000000e+01,2.825000000000000000e+03
4.773333333333334139e+01,8.000000000000000000e+01,4.500000000000000000e+01,3.593000000000000000e+03
4.120000000000000284e+01,9.000000000000000000e+01,4.760000000000000142e+01,4.336000000000000000e+03
3.466666666666667140e+01,1.000000000000000000e+02,5.089999999999999858e+01,5.138000000000000000e+03
2.813333333333334352e+01,1.100000000000000000e+02,5.770000000000000284e+01,6.029000000000000000e+03
2.159999999999999787e+01,1.200000000000000000e+02,6.450000000000000000e+01,6.993000000000000000e+03
1.506666666666666110e+01,1.300000000000000000e+02,7.190000000000000568e+01,7.993000000000000000e+03
8.533333333333336768e+00,1.400000000000000000e+02,7.990000000000000568e+01,8.993000000000000000e+03
2.000000000000001776e+00,1.500000000000000000e+02,8.540000000000000568e+01,9.993000000000000000e+03
2.000000000000001776e+00,1.600000000000000000e+02,8.840000000000000568e+01,1.099300000000000000e+04
2.000000000000001776e+00,1.700000000000000000e+02,9.170000000000000284e+01,1.199300000000000000e+04
2.000000000000001776e+00,1.800000000000000000e+02,9.340000000000000568e+01,1.299300000000000000e+04
2.000000000000001776e+00,1.900000000000000000e+02,9.659999999999999432e+01,1.399300000000000000e+04
2.000000000000001776e+00,2.000000000000000000e+02,9.770000000000000284e+01,1.483500000000000000e+04
2.000000000000001776e+00,2.100000000000000000e+02,9.479999999999999716e+01,1.553000000000000000e+04
2.000000000000001776e+00,2.200000000000000000e+02,9.540000000000000568e+01,1.651900000000000000e+04
2.000000000000001776e+00,2.300000000000000000e+02,9.529999999999999716e+01,1.751900000000000000e+04
2.000000000000001776e+00,2.400000000000000000e+02,9.500000000000000000e+01,1.849200000000000000e+04
2.000000000000001776e+00,2.500000000000000000e+02,9.440000000000000568e+01,1.943700000000000000e+04
