% time spent exploring,episodes,mean 100 episode reward,steps
93,10,31.8,285
88,20,27.8,527
84,30,23.9,692
79,40,23.6,919
73,50,25.2,1233
64,60,27.4,1615
58,70,27.9,1927
50,80,28.6,2259
42,90,29.5,2623
35,100,30.0,2967
31,110,28.4,3123
25,120,29.1,3435
18,130,30.7,3758
12,140,30.8,3997
9,150,29.2,4148
7,160,26.5,4265
3,170,25.0,4429
2,180,23.2,4582
2,190,20.9,4709
2,200,18.8,4845
2,210,18.7,4990
2,220,16.9,5121
2,230,14.8,5239
2,240,13.4,5337
2,250,12.8,5430
2,260,12.6,5530
2,270,12.1,5637
2,280,11.9,5773
2,290,12.5,5961
2,300,14.2,6264
2,310,16.5,6644
2,320,19.0,7020
2,330,21.8,7415
2,340,26.7,8006
2,350,31.0,8526
2,360,35.0,9033
2,370,37.0,9332
2,380,38.4,9618
2,390,40.2,9983
2,400,40.9,10356
2,410,41.0,10747
2,420,41.9,11212
2,430,41.8,11593
2,440,39.0,11906
2,450,38.8,12403
2,460,37.4,12769
2,470,38.8,13207
2,480,41.6,13783
2,490,41.9,14173
2,500,40.5,14405
2,510,40.3,14773
