% time spent exploring,episodes,mean 100 episode reward,steps
94,10,26.6,238
90,20,23.0,436
83,30,25.8,747
79,40,23.7,924
75,50,22.7,1110
72,60,21.7,1277
68,70,21.0,1448
63,80,21.1,1664
58,90,21.4,1903
54,100,21.2,2096
47,110,22.0,2433
39,120,23.6,2798
31,130,24.0,3143
23,140,25.9,3514
16,150,27.4,3849
5,160,30.6,4341
2,170,32.4,4683
2,180,33.5,5018
2,190,33.6,5267
2,200,34.0,5500
2,210,32.6,5696
2,220,31.2,5919
2,230,30.2,6164
2,240,29.0,6413
2,250,28.2,6673
2,260,28.0,7144
2,270,28.9,7573
2,280,30.2,8037
2,290,34.5,8720
2,300,37.7,9269
2,310,43.0,9998
2,320,46.5,10566
2,330,51.3,11292
2,340,51.2,11537
2,350,52.0,11878
2,360,51.1,12253
2,370,50.4,12609
2,380,47.9,12829
2,390,43.6,13084
2,400,40.6,13326
2,410,35.5,13546
2,420,32.0,13763
2,430,27.0,13996
2,440,27.0,14235
2,450,25.5,14432
2,460,23.8,14638
2,470,22.5,14861
