% time spent exploring,episodes,mean 100 episode reward,steps
87,10,21.2,190
73,20,21.3,403
64,30,18.8,544
53,40,18.5,719
44,50,17.3,848
37,60,16.3,962
30,70,15.4,1062
23,80,14.9,1173
16,90,14.4,1279
10,100,13.9,1376
3,110,12.8,1473
2,120,11.7,1571
2,130,11.2,1664
2,140,10.4,1758
2,150,10.0,1852
2,160,9.9,1950
2,170,9.8,2045
2,180,9.6,2133
2,190,9.5,2228
2,200,9.5,2326
2,210,9.5,2421
2,220,9.4,2514
2,230,9.4,2606
2,240,9.4,2699
2,250,9.4,2792
2,260,9.4,2885
2,270,9.4,2981
2,280,9.4,3078
2,290,9.4,3173
2,300,9.4,3270
2,310,9.4,3365
2,320,9.4,3459
2,330,9.5,3552
2,340,9.5,3649
2,350,9.5,3743
2,360,9.5,3838
2,370,9.5,3930
2,380,9.5,4024
2,390,9.5,4122
2,400,9.4,4213
2,410,9.4,4307
2,420,9.4,4401
2,430,9.5,4501
2,440,9.5,4597
2,450,9.4,4687
2,460,9.4,4783
2,470,9.5,4881
2,480,9.5,4978
