% time spent exploring,episodes,mean 100 episode reward,steps
87,10,21.0,188
73,20,21.6,410
60,30,20.7,598
51,40,19.1,743
41,50,18.2,893
34,60,17.1,1006
26,70,16.3,1125
19,80,15.6,1232
13,90,14.9,1325
7,100,14.3,1419
2,110,13.2,1513
2,120,12.0,1609
2,130,11.1,1705
2,140,10.6,1800
2,150,10.0,1894
2,160,9.8,1989
2,170,9.6,2087
2,180,9.5,2181
2,190,9.5,2277
2,200,9.5,2371
2,210,9.5,2465
2,220,9.5,2557
2,230,9.5,2651
2,240,9.4,2742
2,250,9.4,2839
2,260,9.4,2931
2,270,9.4,3027
2,280,9.4,3121
2,290,9.4,3217
2,300,9.4,3314
2,310,9.5,3411
2,320,9.5,3508
2,330,9.6,3606
2,340,9.6,3702
2,350,9.6,3795
2,360,9.6,3893
2,370,9.6,3985
2,380,9.6,4078
2,390,9.6,4175
2,400,9.5,4267
2,410,9.5,4360
2,420,9.5,4454
2,430,9.5,4553
2,440,9.5,4651
2,450,9.5,4749
2,460,9.5,4842
2,470,9.5,4932
