% time spent exploring,episodes,mean 100 episode reward,steps
87,10,21.3,191
75,20,19.9,378
64,30,19.0,549
55,40,17.5,682
47,50,16.5,806
36,60,16.4,966
29,70,15.6,1072
22,80,15.0,1186
15,90,14.5,1287
9,100,14.1,1390
2,110,12.9,1485
2,120,12.0,1581
2,130,11.3,1677
2,140,10.9,1770
2,150,10.6,1867
2,160,10.0,1961
2,170,9.8,2057
2,180,9.7,2152
2,190,9.6,2245
2,200,9.5,2337
2,210,9.4,2430
2,220,9.4,2523
2,230,9.4,2618
2,240,9.4,2714
2,250,9.5,2814
2,260,9.5,2914
2,270,9.5,3007
2,280,9.5,3106
2,290,9.6,3201
2,300,9.6,3296
2,310,9.6,3390
2,320,9.6,3487
2,330,9.6,3582
2,340,9.6,3678
2,350,9.6,3773
2,360,9.6,3869
2,370,9.6,3966
2,380,9.6,4061
2,390,9.6,4159
2,400,9.5,4249
2,410,9.6,4347
2,420,9.6,4443
2,430,9.5,4536
2,440,9.5,4630
2,450,9.5,4725
2,460,9.5,4822
2,470,9.5,4915
