% time spent exploring,episodes,mean 100 episode reward,steps
86,10,23.6,211
71,20,22.8,433
60,30,21.1,612
50,40,19.6,764
42,50,18.0,880
35,60,16.7,986
28,70,15.8,1091
21,80,15.2,1200
15,90,14.6,1299
8,100,14.1,1397
2,110,12.9,1502
2,120,11.6,1595
2,130,10.8,1693
2,140,10.3,1791
2,150,10.1,1888
2,160,9.9,1980
2,170,9.8,2074
2,180,9.7,2170
2,190,9.7,2266
2,200,9.7,2363
2,210,9.5,2455
2,220,9.6,2552
2,230,9.6,2650
2,240,9.6,2750
2,250,9.6,2843
2,260,9.6,2942
2,270,9.6,3035
2,280,9.6,3129
2,290,9.6,3226
2,300,9.6,3323
2,310,9.6,3420
2,320,9.6,3514
2,330,9.6,3609
2,340,9.6,3711
2,350,9.7,3811
2,360,9.7,3910
2,370,9.7,4005
2,380,9.7,4100
2,390,9.8,4201
2,400,9.7,4295
2,410,9.7,4392
2,420,9.7,4486
2,430,9.7,4583
2,440,9.7,4677
2,450,9.6,4774
2,460,9.6,4869
2,470,9.6,4965
