% time spent exploring,episodes,mean 100 episode reward,steps
87,10,22.1,198
73,20,21.7,411
61,30,20.1,583
51,40,19.2,749
41,50,18.4,900
33,60,17.4,1023
25,70,16.5,1137
18,80,15.7,1240
12,90,15.1,1343
5,100,14.6,1440
2,110,13.4,1537
2,120,12.2,1626
2,130,11.4,1720
2,140,10.7,1815
2,150,10.1,1912
2,160,9.8,2006
2,170,9.6,2099
2,180,9.5,2191
2,190,9.4,2284
2,200,9.4,2378
2,210,9.3,2469
2,220,9.4,2563
2,230,9.4,2658
2,240,9.4,2750
2,250,9.3,2845
2,260,9.3,2935
2,270,9.3,3028
2,280,9.3,3124
2,290,9.4,3220
2,300,9.4,3320
2,310,9.4,3410
2,320,9.4,3503
2,330,9.4,3596
2,340,9.4,3691
2,350,9.4,3785
2,360,9.5,3883
2,370,9.5,3978
2,380,9.5,4070
2,390,9.4,4163
2,400,9.3,4252
2,410,9.4,4345
2,420,9.4,4442
2,430,9.4,4539
2,440,9.4,4636
2,450,9.4,4728
2,460,9.4,4826
2,470,9.4,4917
