% time spent exploring,episodes,mean 100 episode reward,steps
84,10,26.1,234
68,20,25.4,481
57,30,22.5,651
48,40,20.2,785
40,50,18.7,917
31,60,17.7,1046
23,70,17.0,1173
16,80,16.1,1273
10,90,15.4,1370
4,100,14.8,1466
2,110,13.3,1562
2,120,11.7,1653
2,130,11.0,1746
2,140,10.5,1836
2,150,10.1,1928
2,160,9.8,2025
2,170,9.5,2122
2,180,9.5,2220
2,190,9.4,2314
2,200,9.4,2410
2,210,9.4,2506
2,220,9.5,2602
2,230,9.5,2694
2,240,9.5,2784
2,250,9.5,2876
2,260,9.4,2968
2,270,9.4,3066
2,280,9.4,3164
2,290,9.4,3257
2,300,9.4,3349
2,310,9.4,3444
2,320,9.4,3538
2,330,9.4,3635
2,340,9.5,3732
2,350,9.6,3832
2,360,9.6,3928
2,370,9.5,4019
2,380,9.5,4113
2,390,9.5,4210
2,400,9.6,4304
2,410,9.5,4396
2,420,9.5,4492
2,430,9.5,4587
2,440,9.5,4683
2,450,9.4,4776
2,460,9.4,4873
2,470,9.5,4968
