% time spent exploring,episodes,mean 100 episode reward,steps
86,10,22.3,200
74,20,20.5,388
61,30,20.3,587
51,40,18.9,738
43,50,17.8,871
35,60,16.7,985
28,70,15.8,1088
21,80,15.3,1207
14,90,14.7,1305
8,100,14.2,1402
2,110,13.0,1497
2,120,12.0,1591
2,130,11.0,1684
2,140,10.4,1779
2,150,10.0,1868
2,160,9.8,1964
2,170,9.7,2057
2,180,9.4,2149
2,190,9.4,2244
2,200,9.4,2338
2,210,9.4,2434
2,220,9.4,2527
2,230,9.3,2618
2,240,9.4,2716
2,250,9.4,2807
2,260,9.4,2906
2,270,9.4,2999
2,280,9.4,3092
2,290,9.4,3188
2,300,9.4,3282
2,310,9.4,3378
2,320,9.5,3473
2,330,9.5,3570
2,340,9.5,3666
2,350,9.5,3760
2,360,9.5,3853
2,370,9.5,3948
2,380,9.5,4043
2,390,9.5,4138
2,400,9.5,4229
2,410,9.5,4326
2,420,9.5,4420
2,430,9.4,4515
2,440,9.5,4612
2,450,9.5,4707
2,460,9.5,4801
2,470,9.5,4896
2,480,9.5,4991
