# Exploration %,Episodes,Rewards,Timestep
9.346666666666666856e+01,1.000000000000000000e+01,1.630000000000000071e+01,1.590000000000000000e+02
8.693333333333332291e+01,2.000000000000000000e+01,2.069999999999999929e+01,4.460000000000000000e+02
8.040000000000000568e+01,3.000000000000000000e+01,2.330000000000000071e+01,6.930000000000000000e+02
7.386666666666667425e+01,4.000000000000000000e+01,2.450000000000000000e+01,9.720000000000000000e+02
6.733333333333332860e+01,5.000000000000000000e+01,2.910000000000000142e+01,1.445000000000000000e+03
6.079999999999999716e+01,6.000000000000000000e+01,3.139999999999999858e+01,1.949000000000000000e+03
5.426666666666666572e+01,7.000000000000000000e+01,3.689999999999999858e+01,2.608000000000000000e+03
4.773333333333334139e+01,8.000000000000000000e+01,4.050000000000000000e+01,3.289000000000000000e+03
4.120000000000000284e+01,9.000000000000000000e+01,4.420000000000000284e+01,4.027000000000000000e+03
3.466666666666667140e+01,1.000000000000000000e+02,4.739999999999999858e+01,4.707000000000000000e+03
2.813333333333334352e+01,1.100000000000000000e+02,5.270000000000000284e+01,5.513000000000000000e+03
2.159999999999999787e+01,1.200000000000000000e+02,6.020000000000000284e+01,6.513000000000000000e+03
1.506666666666666110e+01,1.300000000000000000e+02,6.740000000000000568e+01,7.513000000000000000e+03
8.533333333333336768e+00,1.400000000000000000e+02,7.459999999999999432e+01,8.513000000000000000e+03
2.000000000000001776e+00,1.500000000000000000e+02,7.990000000000000568e+01,9.513000000000000000e+03
2.000000000000001776e+00,1.600000000000000000e+02,8.559999999999999432e+01,1.051300000000000000e+04
2.000000000000001776e+00,1.700000000000000000e+02,8.870000000000000284e+01,1.151300000000000000e+04
2.000000000000001776e+00,1.800000000000000000e+02,9.059999999999999432e+01,1.235200000000000000e+04
2.000000000000001776e+00,1.900000000000000000e+02,9.309999999999999432e+01,1.335200000000000000e+04
2.000000000000001776e+00,2.000000000000000000e+02,9.559999999999999432e+01,1.435200000000000000e+04
2.000000000000001776e+00,2.100000000000000000e+02,9.840000000000000568e+01,1.535200000000000000e+04
2.000000000000001776e+00,2.200000000000000000e+02,9.840000000000000568e+01,1.635200000000000000e+04
2.000000000000001776e+00,2.300000000000000000e+02,9.840000000000000568e+01,1.735200000000000000e+04
2.000000000000001776e+00,2.400000000000000000e+02,9.840000000000000568e+01,1.835200000000000000e+04
2.000000000000001776e+00,2.500000000000000000e+02,9.840000000000000568e+01,1.935200000000000000e+04
