# Exploration %,Episodes,Rewards,Timestep
9.346666666666666856e+01,1.000000000000000000e+01,1.680000000000000071e+01,1.720000000000000000e+02
8.693333333333332291e+01,2.000000000000000000e+01,2.019999999999999929e+01,4.040000000000000000e+02
8.040000000000000568e+01,3.000000000000000000e+01,1.989999999999999858e+01,6.680000000000000000e+02
7.386666666666667425e+01,4.000000000000000000e+01,2.580000000000000071e+01,1.052000000000000000e+03
6.733333333333332860e+01,5.000000000000000000e+01,2.880000000000000071e+01,1.511000000000000000e+03
6.079999999999999716e+01,6.000000000000000000e+01,3.420000000000000284e+01,2.096000000000000000e+03
5.426666666666666572e+01,7.000000000000000000e+01,3.820000000000000284e+01,2.697000000000000000e+03
4.773333333333334139e+01,8.000000000000000000e+01,3.889999999999999858e+01,3.105000000000000000e+03
4.120000000000000284e+01,9.000000000000000000e+01,4.470000000000000284e+01,4.081000000000000000e+03
3.466666666666667140e+01,1.000000000000000000e+02,4.879999999999999716e+01,4.928000000000000000e+03
2.813333333333334352e+01,1.100000000000000000e+02,5.660000000000000142e+01,5.910000000000000000e+03
2.159999999999999787e+01,1.200000000000000000e+02,6.360000000000000142e+01,6.845000000000000000e+03
1.506666666666666110e+01,1.300000000000000000e+02,7.079999999999999716e+01,7.759000000000000000e+03
8.533333333333336768e+00,1.400000000000000000e+02,7.650000000000000000e+01,8.759000000000000000e+03
2.000000000000001776e+00,1.500000000000000000e+02,8.240000000000000568e+01,9.751000000000000000e+03
2.000000000000001776e+00,1.600000000000000000e+02,8.629999999999999716e+01,1.074700000000000000e+04
2.000000000000001776e+00,1.700000000000000000e+02,8.829999999999999716e+01,1.150000000000000000e+04
2.000000000000001776e+00,1.800000000000000000e+02,9.090000000000000568e+01,1.225800000000000000e+04
2.000000000000001776e+00,1.900000000000000000e+02,9.179999999999999716e+01,1.325800000000000000e+04
2.000000000000001776e+00,2.000000000000000000e+02,9.329999999999999716e+01,1.425800000000000000e+04
2.000000000000001776e+00,2.100000000000000000e+02,9.350000000000000000e+01,1.525800000000000000e+04
2.000000000000001776e+00,2.200000000000000000e+02,9.409999999999999432e+01,1.625800000000000000e+04
2.000000000000001776e+00,2.300000000000000000e+02,9.500000000000000000e+01,1.725800000000000000e+04
2.000000000000001776e+00,2.400000000000000000e+02,9.500000000000000000e+01,1.825800000000000000e+04
2.000000000000001776e+00,2.500000000000000000e+02,9.500000000000000000e+01,1.925800000000000000e+04
