# Exploration %,Episodes,Rewards,Timestep
9.346666666666666856e+01,1.000000000000000000e+01,1.739999999999999858e+01,1.670000000000000000e+02
8.693333333333332291e+01,2.000000000000000000e+01,1.850000000000000000e+01,3.710000000000000000e+02
8.040000000000000568e+01,3.000000000000000000e+01,1.919999999999999929e+01,5.730000000000000000e+02
7.386666666666667425e+01,4.000000000000000000e+01,2.030000000000000071e+01,8.320000000000000000e+02
6.733333333333332860e+01,5.000000000000000000e+01,2.430000000000000071e+01,1.228000000000000000e+03
6.079999999999999716e+01,6.000000000000000000e+01,2.830000000000000071e+01,1.717000000000000000e+03
5.426666666666666572e+01,7.000000000000000000e+01,3.220000000000000284e+01,2.316000000000000000e+03
4.773333333333334139e+01,8.000000000000000000e+01,3.570000000000000284e+01,2.918000000000000000e+03
4.120000000000000284e+01,9.000000000000000000e+01,4.179999999999999716e+01,3.817000000000000000e+03
3.466666666666667140e+01,1.000000000000000000e+02,4.650000000000000000e+01,4.695000000000000000e+03
2.813333333333334352e+01,1.100000000000000000e+02,5.279999999999999716e+01,5.532000000000000000e+03
2.159999999999999787e+01,1.200000000000000000e+02,6.079999999999999716e+01,6.532000000000000000e+03
1.506666666666666110e+01,1.300000000000000000e+02,6.759999999999999432e+01,7.415000000000000000e+03
8.533333333333336768e+00,1.400000000000000000e+02,7.520000000000000284e+01,8.415000000000000000e+03
2.000000000000001776e+00,1.500000000000000000e+02,7.729999999999999716e+01,8.934000000000000000e+03
2.000000000000001776e+00,1.600000000000000000e+02,7.750000000000000000e+01,9.523000000000000000e+03
2.000000000000001776e+00,1.700000000000000000e+02,8.200000000000000000e+01,1.052300000000000000e+04
2.000000000000001776e+00,1.800000000000000000e+02,8.600000000000000000e+01,1.152300000000000000e+04
2.000000000000001776e+00,1.900000000000000000e+02,8.700000000000000000e+01,1.252200000000000000e+04
2.000000000000001776e+00,2.000000000000000000e+02,8.809999999999999432e+01,1.352200000000000000e+04
2.000000000000001776e+00,2.100000000000000000e+02,8.990000000000000568e+01,1.452200000000000000e+04
2.000000000000001776e+00,2.200000000000000000e+02,8.990000000000000568e+01,1.552200000000000000e+04
2.000000000000001776e+00,2.300000000000000000e+02,9.109999999999999432e+01,1.652200000000000000e+04
2.000000000000001776e+00,2.400000000000000000e+02,9.109999999999999432e+01,1.752200000000000000e+04
2.000000000000001776e+00,2.500000000000000000e+02,9.500000000000000000e+01,1.852200000000000000e+04
2.000000000000001776e+00,2.600000000000000000e+02,9.979999999999999716e+01,1.950800000000000000e+04
