# Exploration %,Episodes,Rewards,Timestep
9.346666666666666856e+01,1.000000000000000000e+01,1.919999999999999929e+01,1.880000000000000000e+02
8.693333333333332291e+01,2.000000000000000000e+01,2.150000000000000000e+01,4.200000000000000000e+02
8.040000000000000568e+01,3.000000000000000000e+01,2.369999999999999929e+01,7.070000000000000000e+02
7.386666666666667425e+01,4.000000000000000000e+01,2.610000000000000142e+01,1.028000000000000000e+03
6.733333333333332860e+01,5.000000000000000000e+01,3.050000000000000000e+01,1.574000000000000000e+03
6.079999999999999716e+01,6.000000000000000000e+01,3.529999999999999716e+01,2.180000000000000000e+03
5.426666666666666572e+01,7.000000000000000000e+01,3.900000000000000000e+01,2.736000000000000000e+03
4.773333333333334139e+01,8.000000000000000000e+01,4.320000000000000284e+01,3.444000000000000000e+03
4.120000000000000284e+01,9.000000000000000000e+01,4.510000000000000142e+01,4.112000000000000000e+03
3.466666666666667140e+01,1.000000000000000000e+02,5.060000000000000142e+01,5.112000000000000000e+03
2.813333333333334352e+01,1.100000000000000000e+02,5.570000000000000284e+01,5.847000000000000000e+03
2.159999999999999787e+01,1.200000000000000000e+02,6.339999999999999858e+01,6.847000000000000000e+03
1.506666666666666110e+01,1.300000000000000000e+02,6.459999999999999432e+01,7.170000000000000000e+03
8.533333333333336768e+00,1.400000000000000000e+02,6.770000000000000284e+01,7.890000000000000000e+03
2.000000000000001776e+00,1.500000000000000000e+02,7.220000000000000284e+01,8.812000000000000000e+03
2.000000000000001776e+00,1.600000000000000000e+02,7.609999999999999432e+01,9.787000000000000000e+03
2.000000000000001776e+00,1.700000000000000000e+02,7.970000000000000284e+01,1.072500000000000000e+04
2.000000000000001776e+00,1.800000000000000000e+02,8.059999999999999432e+01,1.156800000000000000e+04
2.000000000000001776e+00,1.900000000000000000e+02,8.379999999999999716e+01,1.248800000000000000e+04
2.000000000000001776e+00,2.000000000000000000e+02,8.270000000000000284e+01,1.337900000000000000e+04
2.000000000000001776e+00,2.100000000000000000e+02,8.500000000000000000e+01,1.434900000000000000e+04
2.000000000000001776e+00,2.200000000000000000e+02,8.500000000000000000e+01,1.534600000000000000e+04
2.000000000000001776e+00,2.300000000000000000e+02,9.100000000000000000e+01,1.634600000000000000e+04
2.000000000000001776e+00,2.400000000000000000e+02,9.459999999999999432e+01,1.734600000000000000e+04
2.000000000000001776e+00,2.500000000000000000e+02,9.529999999999999716e+01,1.834600000000000000e+04
2.000000000000001776e+00,2.600000000000000000e+02,9.559999999999999432e+01,1.933700000000000000e+04
2.000000000000001776e+00,2.700000000000000000e+02,9.220000000000000284e+01,1.998200000000000000e+04
