# Exploration %,Episodes,Rewards,Timestep
9.346666666666666856e+01,1.000000000000000000e+01,2.269999999999999929e+01,2.150000000000000000e+02
8.693333333333332291e+01,2.000000000000000000e+01,2.160000000000000142e+01,4.210000000000000000e+02
8.040000000000000568e+01,3.000000000000000000e+01,2.360000000000000142e+01,7.230000000000000000e+02
7.386666666666667425e+01,4.000000000000000000e+01,2.610000000000000142e+01,1.069000000000000000e+03
6.733333333333332860e+01,5.000000000000000000e+01,3.260000000000000142e+01,1.661000000000000000e+03
6.079999999999999716e+01,6.000000000000000000e+01,3.720000000000000284e+01,2.292000000000000000e+03
5.426666666666666572e+01,7.000000000000000000e+01,4.100000000000000000e+01,2.899000000000000000e+03
4.773333333333334139e+01,8.000000000000000000e+01,4.179999999999999716e+01,3.398000000000000000e+03
4.120000000000000284e+01,9.000000000000000000e+01,4.589999999999999858e+01,4.118000000000000000e+03
3.466666666666667140e+01,1.000000000000000000e+02,4.879999999999999716e+01,4.928000000000000000e+03
2.813333333333334352e+01,1.100000000000000000e+02,5.620000000000000284e+01,5.928000000000000000e+03
2.159999999999999787e+01,1.200000000000000000e+02,6.420000000000000284e+01,6.928000000000000000e+03
1.506666666666666110e+01,1.300000000000000000e+02,7.140000000000000568e+01,7.928000000000000000e+03
8.533333333333336768e+00,1.400000000000000000e+02,7.809999999999999432e+01,8.928000000000000000e+03
2.000000000000001776e+00,1.500000000000000000e+02,8.229999999999999716e+01,9.928000000000000000e+03
2.000000000000001776e+00,1.600000000000000000e+02,8.640000000000000568e+01,1.092800000000000000e+04
2.000000000000001776e+00,1.700000000000000000e+02,9.000000000000000000e+01,1.192800000000000000e+04
2.000000000000001776e+00,1.800000000000000000e+02,9.520000000000000284e+01,1.292800000000000000e+04
2.000000000000001776e+00,1.900000000000000000e+02,9.609999999999999432e+01,1.369800000000000000e+04
2.000000000000001776e+00,2.000000000000000000e+02,9.520000000000000284e+01,1.445000000000000000e+04
2.000000000000001776e+00,2.100000000000000000e+02,9.270000000000000284e+01,1.516100000000000000e+04
2.000000000000001776e+00,2.200000000000000000e+02,8.920000000000000284e+01,1.580700000000000000e+04
2.000000000000001776e+00,2.300000000000000000e+02,8.829999999999999716e+01,1.675700000000000000e+04
2.000000000000001776e+00,2.400000000000000000e+02,8.829999999999999716e+01,1.775700000000000000e+04
2.000000000000001776e+00,2.500000000000000000e+02,8.820000000000000284e+01,1.874500000000000000e+04
2.000000000000001776e+00,2.600000000000000000e+02,8.820000000000000284e+01,1.974500000000000000e+04
