# Exploration %,Episodes,Rewards,Timestep
9.346666666666666856e+01,1.000000000000000000e+01,2.069999999999999929e+01,1.960000000000000000e+02
8.693333333333332291e+01,2.000000000000000000e+01,2.030000000000000071e+01,4.090000000000000000e+02
8.040000000000000568e+01,3.000000000000000000e+01,2.119999999999999929e+01,6.330000000000000000e+02
7.386666666666667425e+01,4.000000000000000000e+01,2.039999999999999858e+01,8.190000000000000000e+02
6.733333333333332860e+01,5.000000000000000000e+01,2.210000000000000142e+01,1.126000000000000000e+03
6.079999999999999716e+01,6.000000000000000000e+01,2.610000000000000142e+01,1.572000000000000000e+03
5.426666666666666572e+01,7.000000000000000000e+01,2.819999999999999929e+01,2.000000000000000000e+03
4.773333333333334139e+01,8.000000000000000000e+01,3.279999999999999716e+01,2.638000000000000000e+03
4.120000000000000284e+01,9.000000000000000000e+01,3.739999999999999858e+01,3.345000000000000000e+03
3.466666666666667140e+01,1.000000000000000000e+02,3.829999999999999716e+01,3.854000000000000000e+03
2.813333333333334352e+01,1.100000000000000000e+02,4.100000000000000000e+01,4.334000000000000000e+03
2.159999999999999787e+01,1.200000000000000000e+02,4.670000000000000284e+01,5.152000000000000000e+03
1.506666666666666110e+01,1.300000000000000000e+02,5.439999999999999858e+01,6.152000000000000000e+03
8.533333333333336768e+00,1.400000000000000000e+02,6.260000000000000142e+01,7.152000000000000000e+03
2.000000000000001776e+00,1.500000000000000000e+02,6.970000000000000284e+01,8.152000000000000000e+03
2.000000000000001776e+00,1.600000000000000000e+02,7.509999999999999432e+01,9.152000000000000000e+03
2.000000000000001776e+00,1.700000000000000000e+02,8.020000000000000284e+01,9.973000000000000000e+03
2.000000000000001776e+00,1.800000000000000000e+02,8.279999999999999716e+01,1.097300000000000000e+04
2.000000000000001776e+00,1.900000000000000000e+02,8.540000000000000568e+01,1.197300000000000000e+04
2.000000000000001776e+00,2.000000000000000000e+02,9.079999999999999716e+01,1.297300000000000000e+04
2.000000000000001776e+00,2.100000000000000000e+02,9.579999999999999716e+01,1.397300000000000000e+04
2.000000000000001776e+00,2.200000000000000000e+02,9.620000000000000284e+01,1.477100000000000000e+04
2.000000000000001776e+00,2.300000000000000000e+02,9.420000000000000284e+01,1.548000000000000000e+04
2.000000000000001776e+00,2.400000000000000000e+02,9.250000000000000000e+01,1.639900000000000000e+04
2.000000000000001776e+00,2.500000000000000000e+02,9.250000000000000000e+01,1.739900000000000000e+04
2.000000000000001776e+00,2.600000000000000000e+02,9.250000000000000000e+01,1.839900000000000000e+04
2.000000000000001776e+00,2.700000000000000000e+02,9.340000000000000568e+01,1.939900000000000000e+04
