# Exploration %,Episodes,Rewards,Timestep
9.346666666666666856e+01,1.000000000000000000e+01,2.739999999999999858e+01,2.610000000000000000e+02
8.693333333333332291e+01,2.000000000000000000e+01,2.330000000000000071e+01,4.660000000000000000e+02
8.040000000000000568e+01,3.000000000000000000e+01,2.310000000000000142e+01,6.860000000000000000e+02
7.386666666666667425e+01,4.000000000000000000e+01,2.100000000000000000e+01,8.320000000000000000e+02
6.733333333333332860e+01,5.000000000000000000e+01,2.100000000000000000e+01,1.048000000000000000e+03
6.079999999999999716e+01,6.000000000000000000e+01,2.119999999999999929e+01,1.280000000000000000e+03
5.426666666666666572e+01,7.000000000000000000e+01,2.500000000000000000e+01,1.794000000000000000e+03
4.773333333333334139e+01,8.000000000000000000e+01,2.910000000000000142e+01,2.366000000000000000e+03
4.120000000000000284e+01,9.000000000000000000e+01,3.339999999999999858e+01,3.030000000000000000e+03
3.466666666666667140e+01,1.000000000000000000e+02,3.539999999999999858e+01,3.587000000000000000e+03
2.813333333333334352e+01,1.100000000000000000e+02,3.850000000000000000e+01,4.142000000000000000e+03
2.159999999999999787e+01,1.200000000000000000e+02,4.100000000000000000e+01,4.571000000000000000e+03
1.506666666666666110e+01,1.300000000000000000e+02,4.350000000000000000e+01,5.121000000000000000e+03
8.533333333333336768e+00,1.400000000000000000e+02,4.750000000000000000e+01,5.608000000000000000e+03
2.000000000000001776e+00,1.500000000000000000e+02,5.200000000000000000e+01,6.325000000000000000e+03
2.000000000000001776e+00,1.600000000000000000e+02,5.560000000000000142e+01,6.912000000000000000e+03
2.000000000000001776e+00,1.700000000000000000e+02,5.679999999999999716e+01,7.462000000000000000e+03
2.000000000000001776e+00,1.800000000000000000e+02,5.720000000000000284e+01,8.096000000000000000e+03
2.000000000000001776e+00,1.900000000000000000e+02,5.779999999999999716e+01,8.836000000000000000e+03
2.000000000000001776e+00,2.000000000000000000e+02,5.960000000000000142e+01,9.565000000000000000e+03
2.000000000000001776e+00,2.100000000000000000e+02,6.120000000000000284e+01,1.029400000000000000e+04
2.000000000000001776e+00,2.200000000000000000e+02,6.579999999999999716e+01,1.119800000000000000e+04
2.000000000000001776e+00,2.300000000000000000e+02,6.900000000000000000e+01,1.199600000000000000e+04
2.000000000000001776e+00,2.400000000000000000e+02,7.109999999999999432e+01,1.270900000000000000e+04
2.000000000000001776e+00,2.500000000000000000e+02,7.150000000000000000e+01,1.347200000000000000e+04
2.000000000000001776e+00,2.600000000000000000e+02,7.400000000000000000e+01,1.430800000000000000e+04
2.000000000000001776e+00,2.700000000000000000e+02,7.559999999999999432e+01,1.499700000000000000e+04
2.000000000000001776e+00,2.800000000000000000e+02,7.490000000000000568e+01,1.560100000000000000e+04
2.000000000000001776e+00,2.900000000000000000e+02,7.390000000000000568e+01,1.619500000000000000e+04
2.000000000000001776e+00,3.000000000000000000e+02,7.500000000000000000e+01,1.700800000000000000e+04
2.000000000000001776e+00,3.100000000000000000e+02,7.429999999999999716e+01,1.771600000000000000e+04
2.000000000000001776e+00,3.200000000000000000e+02,7.270000000000000284e+01,1.846400000000000000e+04
2.000000000000001776e+00,3.300000000000000000e+02,7.300000000000000000e+01,1.932000000000000000e+04
2.000000000000001776e+00,3.400000000000000000e+02,7.140000000000000568e+01,1.987800000000000000e+04
