# Exploration %,Episodes,Rewards,Timestep
9.346666666666666856e+01,1.000000000000000000e+01,2.139999999999999858e+01,2.070000000000000000e+02
8.693333333333332291e+01,2.000000000000000000e+01,2.330000000000000071e+01,4.610000000000000000e+02
8.040000000000000568e+01,3.000000000000000000e+01,2.419999999999999929e+01,7.270000000000000000e+02
7.386666666666667425e+01,4.000000000000000000e+01,2.610000000000000142e+01,1.053000000000000000e+03
6.733333333333332860e+01,5.000000000000000000e+01,2.989999999999999858e+01,1.497000000000000000e+03
6.079999999999999716e+01,6.000000000000000000e+01,3.639999999999999858e+01,2.187000000000000000e+03
5.426666666666666572e+01,7.000000000000000000e+01,3.860000000000000142e+01,2.677000000000000000e+03
4.773333333333334139e+01,8.000000000000000000e+01,4.239999999999999858e+01,3.410000000000000000e+03
4.120000000000000284e+01,9.000000000000000000e+01,4.629999999999999716e+01,4.219000000000000000e+03
3.466666666666667140e+01,1.000000000000000000e+02,5.010000000000000142e+01,5.064000000000000000e+03
2.813333333333334352e+01,1.100000000000000000e+02,5.679999999999999716e+01,5.971000000000000000e+03
2.159999999999999787e+01,1.200000000000000000e+02,6.429999999999999716e+01,6.971000000000000000e+03
1.506666666666666110e+01,1.300000000000000000e+02,7.170000000000000284e+01,7.971000000000000000e+03
8.533333333333336768e+00,1.400000000000000000e+02,7.850000000000000000e+01,8.971000000000000000e+03
2.000000000000001776e+00,1.500000000000000000e+02,8.409999999999999432e+01,9.971000000000000000e+03
