# Exploration %,Episodes,Rewards,Timestep
9.346666666666666856e+01,1.000000000000000000e+01,1.630000000000000071e+01,1.780000000000000000e+02
8.693333333333332291e+01,2.000000000000000000e+01,1.839999999999999858e+01,3.650000000000000000e+02
8.040000000000000568e+01,3.000000000000000000e+01,1.769999999999999929e+01,5.390000000000000000e+02
7.386666666666667425e+01,4.000000000000000000e+01,1.719999999999999929e+01,6.870000000000000000e+02
6.733333333333332860e+01,5.000000000000000000e+01,1.639999999999999858e+01,8.190000000000000000e+02
6.079999999999999716e+01,6.000000000000000000e+01,1.610000000000000142e+01,9.800000000000000000e+02
5.426666666666666572e+01,7.000000000000000000e+01,1.660000000000000142e+01,1.160000000000000000e+03
4.773333333333334139e+01,8.000000000000000000e+01,1.669999999999999929e+01,1.343000000000000000e+03
4.120000000000000284e+01,9.000000000000000000e+01,1.689999999999999858e+01,1.531000000000000000e+03
3.466666666666667140e+01,1.000000000000000000e+02,1.669999999999999929e+01,1.691000000000000000e+03
2.813333333333334352e+01,1.100000000000000000e+02,1.719999999999999929e+01,1.890000000000000000e+03
2.159999999999999787e+01,1.200000000000000000e+02,1.669999999999999929e+01,2.051000000000000000e+03
1.506666666666666110e+01,1.300000000000000000e+02,1.719999999999999929e+01,2.267000000000000000e+03
8.533333333333336768e+00,1.400000000000000000e+02,1.719999999999999929e+01,2.418000000000000000e+03
2.000000000000001776e+00,1.500000000000000000e+02,1.710000000000000142e+01,2.524000000000000000e+03
2.000000000000001776e+00,1.600000000000000000e+02,1.669999999999999929e+01,2.632000000000000000e+03
2.000000000000001776e+00,1.700000000000000000e+02,1.580000000000000071e+01,2.730000000000000000e+03
2.000000000000001776e+00,1.800000000000000000e+02,1.500000000000000000e+01,2.828000000000000000e+03
2.000000000000001776e+00,1.900000000000000000e+02,1.409999999999999964e+01,2.924000000000000000e+03
2.000000000000001776e+00,2.000000000000000000e+02,1.359999999999999964e+01,3.017000000000000000e+03
2.000000000000001776e+00,2.100000000000000000e+02,1.240000000000000036e+01,3.111000000000000000e+03
2.000000000000001776e+00,2.200000000000000000e+02,1.180000000000000071e+01,3.204000000000000000e+03
2.000000000000001776e+00,2.300000000000000000e+02,1.059999999999999964e+01,3.307000000000000000e+03
2.000000000000001776e+00,2.400000000000000000e+02,1.009999999999999964e+01,3.409000000000000000e+03
2.000000000000001776e+00,2.500000000000000000e+02,9.800000000000000711e+00,3.499000000000000000e+03
2.000000000000001776e+00,2.600000000000000000e+02,9.599999999999999645e+00,3.592000000000000000e+03
2.000000000000001776e+00,2.700000000000000000e+02,9.599999999999999645e+00,3.691000000000000000e+03
2.000000000000001776e+00,2.800000000000000000e+02,9.599999999999999645e+00,3.781000000000000000e+03
2.000000000000001776e+00,2.900000000000000000e+02,9.599999999999999645e+00,3.885000000000000000e+03
2.000000000000001776e+00,3.000000000000000000e+02,9.800000000000000711e+00,3.997000000000000000e+03
2.000000000000001776e+00,3.100000000000000000e+02,1.009999999999999964e+01,4.127000000000000000e+03
2.000000000000001776e+00,3.200000000000000000e+02,1.059999999999999964e+01,4.272000000000000000e+03
2.000000000000001776e+00,3.300000000000000000e+02,1.069999999999999929e+01,4.380000000000000000e+03
2.000000000000001776e+00,3.400000000000000000e+02,1.069999999999999929e+01,4.481000000000000000e+03
2.000000000000001776e+00,3.500000000000000000e+02,1.080000000000000071e+01,4.579000000000000000e+03
2.000000000000001776e+00,3.600000000000000000e+02,1.080000000000000071e+01,4.675000000000000000e+03
2.000000000000001776e+00,3.700000000000000000e+02,1.080000000000000071e+01,4.772000000000000000e+03
2.000000000000001776e+00,3.800000000000000000e+02,1.100000000000000000e+01,4.884000000000000000e+03
2.000000000000001776e+00,3.900000000000000000e+02,1.130000000000000071e+01,5.027000000000000000e+03
2.000000000000001776e+00,4.000000000000000000e+02,1.219999999999999929e+01,5.236000000000000000e+03
2.000000000000001776e+00,4.100000000000000000e+02,1.450000000000000000e+01,5.611000000000000000e+03
2.000000000000001776e+00,4.200000000000000000e+02,1.700000000000000000e+01,6.004000000000000000e+03
2.000000000000001776e+00,4.300000000000000000e+02,2.000000000000000000e+01,6.420000000000000000e+03
2.000000000000001776e+00,4.400000000000000000e+02,2.310000000000000142e+01,6.881000000000000000e+03
2.000000000000001776e+00,4.500000000000000000e+02,2.710000000000000142e+01,7.338000000000000000e+03
2.000000000000001776e+00,4.600000000000000000e+02,3.150000000000000000e+01,7.842000000000000000e+03
2.000000000000001776e+00,4.700000000000000000e+02,3.600000000000000000e+01,8.415000000000000000e+03
2.000000000000001776e+00,4.800000000000000000e+02,3.970000000000000284e+01,8.887000000000000000e+03
2.000000000000001776e+00,4.900000000000000000e+02,4.529999999999999716e+01,9.608000000000000000e+03
