% time spent exploring,episodes,mean 100 episode reward,steps
93,10,28.6,256
86,20,25.5,484
80,30,23.7,685
73,40,22.4,871
67,50,22.8,1116
60,60,30.1,1774
54,70,30.5,2102
47,80,30.7,2425
41,90,30.7,2732
34,100,33.0,3263
28,110,34.8,3739
21,120,39.4,4425
15,130,39.8,4668
8,140,39.3,4803
2,150,38.6,4980
2,160,34.1,5182
2,170,32.3,5335
2,180,30.9,5512
2,190,31.2,5856
2,200,33.3,6589
2,210,37.3,7468
2,220,40.4,8468
2,230,48.0,9468
2,240,51.5,9956
2,250,58.7,10850
2,260,66.7,11850
2,270,75.1,12845
2,280,83.3,13845
2,290,89.9,14845
